第1场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
2,3,喜悅繽紛(V092),羅理雅,蔡約翰,129,1248,1,2002/1/4,452,1.09.48,5.4
3,6,加州議長(A114),莫雷拉,告東尼,119,1159,8,3,663,1.09.62,6.1
4,1,一哥(P361),潘頓,蘇保羅,133,1195,7,2003/1/2,984,1.09.66,7.2
5,4,駿明珍寶(V229),杜利萊,蔡約翰,126,1148,4,2003/3/4,895,1.09.70,12
6,8,海翡翠(V307),巫顯東,約翰摩亞,110,1224,2,4,236,1.09.75,12
7,7,僥倖(T382),柏寶,葉楚航,119,1189,10,2004/1/2,10107,1.09.82,13
8,5,真先生(S253),潘明輝,賀賢,116,1114,5,2005/1/4,328,1.09.94,10
9,10,電子群英(T010),楊明綸,文家良,112,1039,9,2005/3/4,119,1.10.02,31
10,9,帆哥兒(B089),蔡明紹,方嘉柏,113,1036,6,2006/3/4,7710,1.10.18,91
,,,,,,,,,,,
第7场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,5,海利多(V188),羅理雅,沈集成,129,1028,3,-,66651,1.50.12,8.8
2,11,明月光(T369),田泰安,蘇保羅,119,1024,8,2001/1/4,10101172,1.50.29,6.9
3,9,觀自在(S015),黃皓楠,容天鵬,115,1099,9,2001/3/4,45563,1.50.38,18
4,12,力王(A065),李寶利,霍利時,117,1057,5,2,98784,1.50.45,10
5,6,精壯神駿(S414),郭能,高伯新,128,1127,4,2002/1/4,33345,1.50.50,10
6,8,可愛寶(T029),梁家俊,葉楚航,119,1170,11,2003/1/2,121110126,1.50.70,18
7,7,勇駒(S260),潘明輝,賀賢,120,1080,10,2003/3/4,111212107,1.50.72,27
8,1,安荃(S437),莫雷拉,羅富全,133,1165,12,4,79828,1.50.75,5.3
9,4,勢必跑(T094),何澤堯,方嘉柏,128,1072,6,5,879119,1.50.94,9.3
10,3,勁哥兒(A134),貝湯美,告東尼,131,1034,7,2007/3/4,222310,1.51.35,6.2
11,2,紅運發財(A228),祈普敦,蔡約翰,131,1036,2,2010/3/4,111111,1.51.85,6.7
12,10,傲風雲(A344),楊明綸,鄭俊偉,118,1212,1,2016/3/4,544912,1.52.79,99
,,,,,,,,,,,
第8场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,2,天下為攻(A257),莫雷拉,蔡約翰,133,1084,11,-,221,1.10.06,1.9
2,12,勝利寶石(P310),巫顯東,告達理,111,1121,12,2001/1/2,12112,1.10.30,99
3,4,閃耀駿駒(V127),布達德,高伯新,129,1215,9,2001/1/2,753,1.10.31,9.1
4,5,翡翠劇院(A040),潘頓,文家良,127,1111,1,2002/1/2,434,1.10.48,6.7
5,10,光芒再現(T358),田泰安,蘇保羅,117,1080,2,3,665,1.10.56,12
6,1,運來寶寶(V017),黃皓楠,容天鵬,128,1116,8,2003/1/2,116,1.10.60,35
7,8,魅力知心(T341),楊明綸,羅富全,122,1099,10,4,347,1.10.71,63
8,6,好益善(T302),羅理雅,沈集成,125,1190,7,2004/1/4,888,1.10.72,10
9,11,金滿載(N236),沈拿,苗禮德,117,1186,3,2004/1/2,1099,1.10.76,19
10,3,陀飛輪(T051),李寶利,姚本輝,132,1107,5,2004/3/4,5710,1.10.84,13
